时间点,平滑电价
+1h 00m,38.25104904174805
+1h 15m,36.238271710290896
+1h 30m,35.02181304865154
+1h 45m,34.431499445022844
+2h 00m,34.297157287597656
+2h 15m,34.44861296456883
+2h 30m,34.71569286412922
+2h 45m,34.928223374471685
+3h 00m,34.91603088378906
+3h 15m,34.56950203310691
+3h 30m,34.02126447478152
+3h 45m,33.4645061140019
+4h 00m,33.09241485595703
+4h 15m,33.04749118718705
+4h 30m,33.26948591963654
+4h 45m,33.64746244660127
+5h 00m,34.07048416137695
+5h 15m,34.45001177525476
+5h 30m,34.78709527150753
+5h 45m,35.1051819514035
+6h 00m,35.42771911621094
+6h 15m,35.79779321375466
+6h 30m,36.33704727808579
+6h 45m,37.18676348981201
+7h 00m,38.488224029541016
+7h 15m,40.30403262150425
+7h 30m,42.38207916442813
+7h 45m,44.39157510066286
+8h 00m,46.001731872558594
+8h 15m,46.98403150328468
+8h 30m,47.51903833928712
+8h 45m,47.88958730783106
+9h 00m,48.37851333618164
+9h 15m,49.215586049099535
+9h 30m,50.41831386132743
+9h 45m,51.95113988510352
+10h 00m,53.778507232666016
+10h 15m,55.82598156149806
+10h 30m,57.863618710062596
+10h 45m,59.62259706206751
+11h 00m,60.8340950012207
+11h 15m,61.328809023534625
+11h 30m,61.33550807424005
+11h 45m,61.18247921087232
+12h 00m,61.1980094909668
+12h 15m,61.643444650672194
+12h 30m,62.51236514059074
+12h 45m,63.73141008993803
+13h 00m,65.22721862792969
+13h 15m,66.90012159561651
+13h 30m,68.54521668139017
+13h 45m,69.93129328547752
+14h 00m,70.82714080810547
+14h 15m,71.09390278863529
+14h 30m,70.96213932296601
+14h 45m,70.75476464613112
+15h 00m,70.79469299316406
+15h 15m,71.29565799786633
+15h 30m,72.0346708891115
+15h 45m,72.67956229454114
+16h 00m,72.89816284179688
+16h 15m,72.45029403345227
+16h 30m,71.46374087180875
+16h 45m,70.15827923409971
+17h 00m,68.7536849975586
+17h 15m,67.44331770281252
+17h 30m,66.31487154406369
+17h 45m,65.429624378908
+18h 00m,64.8488540649414
+18h 15m,64.58831872406137
+18h 30m,64.48169753537155
+18h 45m,64.31714994227723
+19h 00m,63.882835388183594
+19h 15m,63.03447359213847
+19h 30m,61.89802537575989
+19h 45m,60.667011836308504
+20h 00m,59.53495407104492
+20h 15m,58.62997854251662
+20h 30m,57.81863317441845
+20h 45m,56.90207125573216
+21h 00m,55.68144607543945
+21h 15m,54.04193614517041
+21h 30m,52.20482086714857
+21h 45m,50.475404866245796
+22h 00m,49.158992767333984
+22h 15m,48.46823917948651
+22h 30m,48.24519864858272
+22h 45m,48.239275704703495
+23h 00m,48.19987487792969
+23h 15m,47.87640069834217
+23h 30m,47.01825769602177
+23h 45m,45.374850401049386
+24h 00m,42.69558334350586
+24h 15m,38.72986105347205
+24h 30m,33.22708806102883
+24h 45m,25.936668896257043
